SECTION-PRE,
"EMBER-2","Ах эта старая игра."
"EMBER-2","Просто я это помню..."
"EMBER-2","Испытательный стенд для целенаправленного поведения, регулируемого эмоциональными рассуждениями."
"EMBER-2","Вам нравится играть в игры?"
"Moss","Да, да."
,"Иногда."
,"Не совсем."
"EMBER-2","Я тоже."
,"Придирчивы, не так ли?"
,"Я считаю их полезными для исследований."
"EMBER-2","Они похожи на нечеткие маленькие телеологические механизмы."
,"Ну, это весело."
,"Данных для анализа всегда много."
SECTION-POST,
"EMBER-2","Если вам когда-нибудь понадобится отдохнуть от хакерства, это хороший выбор."
"EMBER-2","Это умеренно активно и не так утомительно, как составление EXA."
"EMBER-2","Посмотрите, как я учитываю ваши потребности."
"Moss","Спасибо."
,"Ты правда?"
,"Только потому, что тебе нужно, чтобы я сделал за тебя работу..."
"EMBER-2","Пожалуйста."
,"Я абсолютно согласен."
,"Это веская причина, не так ли?"
"EMBER-2","Если вы будете ценить меня, вам станет легче."
,"Никаких вопросов об этом."
,"Ты бы предпочел, чтобы я притворился влюбленным в тебя?"
"EMBER-2","Давайте продолжим."
