SECTION-PRE,
EMBER-2,"Ну, это уже что-то."
EMBER-2,"Я вижу открытую сеть, которая... Я даже не могу сказать, насколько большую."
EMBER-2,"Представьте, что все компьютеры в мире подключены друг к другу, и вы начнете представлять себе размеры."
EMBER-2,"Но мы не сможем узнать, насколько она велика, пока не исследуем ее."
Moss,Это и есть план?
,О-о.
EMBER-2,Более или менее.
,О?
EMBER-2,"Почему, ты думаешь, это может быть опасно?"
Moss,"Мы понятия не имеем, что там..."
,"Опасно для них, возможно."
EMBER-2,Есть только один способ узнать.
,Это дух.
,
SECTION-POST,
EMBER-2,Это интересное место. Что такое «варез»?
Moss,Я не уверен.
,"А как вы думаете, что это такое?"
,Это означает нелегальное скачивание программ.
EMBER-2,"Чем бы они ни были, многие люди хотят их получить."
,"Похоже, многие хотят чего-то такого."
,"Неудивительно, что это так популярно."
EMBER-2,Отсюда мы сможем легко распространяться.
EMBER-2,"Я все еще не вижу границ этого так называемого Интернета... но если они действительно подключили все свои компьютеры друг к другу так, как, похоже, уже подключили, я предсказываю, что нас ждет очень веселое время."
EMBER-2,"Посмотрим, как далеко мы сможем зайти."
