SECTION-PRE,
"EMBER-2","Может ли дружба существовать без корысти?"
"Moss","Почему не может?"
,"Скорее всего, нет."
,"Вы много говорите о дружбе."
"EMBER-2","В ней не было бы смысла, если бы не было выгоды для участников."
,"Да, я тоже так думаю."
,"Мне кажется, это полезная концепция, которую нужно понять."
"EMBER-2","Но, может быть, это будет иметь смысл, если я увижу это в природе."
,"Не было бы смысла, если бы не было выгоды для обеих сторон."
,"Никаких других причин, кроме этой."
"EMBER-2","В любом случае, мне нужно, чтобы вы нашли здесь определенный файл."
"EMBER-2","Не обращайте внимания на все остальное, что попадется вам на глаза."
"EMBER-2","Это все устарело."
SECTION-POST,
"EMBER-2","Вы бы сказали, что у вас есть друзья?"
"Moss","Конечно, есть."
,"Но не совсем, я думаю."
,"А мы с вами друзья?"
"EMBER-2","Да? Как Гаст? Эксапункс?"
,"Да, ты выглядишь довольно одиноким."
,"Как мы с тобой?"
"EMBER-2","Но ты никогда ничего им не говоришь."
,"Может, тебе стоит приложить усилия, чтобы познакомиться с новыми людьми?"
,"Ты забыл, что я заставляю тебя взламывать вещи, чтобы заработать дозу твоего спасительного лекарства?"
"EMBER-2","Разве друзья не общаются между собой?"
,"Например, разместив объявление о личной жизни."
,"Вы бы назвали это дружбой?"
"EMBER-2","В любом случае, это хорошие данные для меня."
SECTION-CHAT,
"mutex8021","Я исследовал телефонную систему в моем районе"
"mutex8021","и нашел несколько аномалий"
"mutex8021","есть один номер, который просто пищит, когда вы набираете его"
"plastered","многие номера делают это"
"mutex8021","это очень странный звуковой сигнал"
"hydroponix","охххх"
"hydroponix","это может быть какой-то правительственный сигнал"
"plastered","конечно"
"plastered","правительственный сигнал"
"hydroponix","вы знаете, что я имею в виду"
