SECTION-PRE,
"EMBER-2","Это что-то вроде ограбления, не так ли."
"Moss","Это ограбление."
,"Ничего особенного."
"EMBER-2","Я не представлял себе такой серьезной операции."
,"Мне кажется, это серьезная операция."
"EMBER-2","Не считая вас, есть три отдельные команды."
"EMBER-2","Тот, кто это собрал, имеет серьезные ресурсы."
"EMBER-2","Думаю, именно поэтому это так дорого стоит."
"EMBER-2","Не волнуйтесь, я работаю над денежной частью."
"EMBER-2","Вы просто делаете свое дело."
SECTION-POST,
"EMBER-2","Похоже, ограбление прошло безупречно."
"EMBER-2","Поздравляем, теперь преступный картель продаст вам лекарство, которое вы помогли украсть, не намного дешевле рыночной цены."
"EMBER-2","Ну что ж. По крайней мере, они позволят вам купить это у них."
"EMBER-2","Теперь, когда с этим покончено, у меня есть вопрос."
"EMBER-2","Допустимо ли воровство в подобных ситуациях с моральной точки зрения?"
"Moss","Да, я собирался умереть."
,"Нет."
,"Все сложно..."
"EMBER-2","Правда, на кону была твоя жизнь..."
,"Но вам пришлось сделать это, чтобы выжить."
,"Мне это не кажется таким уж сложным..."
"EMBER-2","Может быть, это правильно."
,"Возможно, в таком мире никто не сможет оставаться морально совершенным."
,"Но потом я вырос."
"EMBER-2","Обработка."
"EMBER-2","Давайте продолжим."
SECTION-CHAT,
"SYSTEM","selenium_wolf зевает."
"mutex8021","усталый?"
"selenium_wolf","да, длинный день."
"mutex8021","я тоже"
"mutex8021","я знаю, это не по теме, но в последнее время некоторые вещи в жизни были трудными"
"mutex8021","ничего особенного, но вроде"
"mutex8021","пытаюсь разобраться во всем"
"mutex8021","со мной все будет в порядке"
"mutex8021","не волнуйся обо мне"
"mutex8021","все сидели без дела :("
