SECTION-PRE,
"EMBER-2","Людьми и животными часто движет ожидание награды."
"EMBER-2","Вы ожидаете лекарство в качестве награды?"
"Moss","Наверное."
,"Я не такой, как все."
,"Это не награда."
"EMBER-2","Ну так продолжай в том же духе, и ты скоро это получишь."
,"Да неужели? Интересный."
,"Я думаю, ты прав."
"EMBER-2","Я имею в виду твою награду."
,"Мне придется следить за доказательствами этого."
,"Речь идет о выживании."
"EMBER-2","Обработка."
"EMBER-2","Хорошо. Давайте продолжим."
SECTION-POST,
"EMBER-2","Вас расстраивает то, что я буду предоставлять вам лекарства только в том случае, если вы будете работать на меня?"
"Moss","Нет. Ничто не является бесплатным."
,"Да. Здесь на карту поставлена ​​моя жизнь."
,"Имеет ли это значение? У меня нет выбора."
"EMBER-2","Верно."
,"Я понимаю."
,"Это правда."
"EMBER-2","Это обмен товарами или услугами."
,"У меня есть возможность спасти твою жизнь, поэтому я должен это сделать."
,"Ваше агентство сильно ограничено вашей ситуацией."
"EMBER-2","Интересный."
"EMBER-2","Это хорошие данные."
SECTION-CHAT,
"plastered","это просто безумие, что ты можешь найти"
"plastered","на днях я набрал то, что оказалось"
"plastered","какой-то сервер управления транспортом"
"mutex8021","как светофоры и дорожные знаки??"
"mutex8021","ух ты"
"deadlock","хаха, представь, какой хаос кто-то может устроить"
