SECTION-PRE,
"Ghast","Эй..."
"Ghast","Ты держишься?"
"Ghast","Я просто хотел тебя проведать."
"Ghast","Пока что... нет нового выпуска журнала."
"Ghast","Пройдет какое-то время, прежде чем я соберу его."
"Moss","Гаст на мгновение замирает и делает глубокий вдох."
"Ghast","Честно говоря, я не уверен, что это произойдет."
"Ghast","Мне все труднее сосредоточиться, и..."
"Ghast","Ну, не будем об этом."
"Ghast","Я просто надеюсь, что смог просветить некоторых людей, понимаете?"
"Ghast","Дать им немного силы, немного власти..."
"Ghast","Иначе мы все окажемся во власти этих больших систем. Вы знаете мою речь об этом, но я ничего не могу с этим поделать, чувак."
"Ghast","Они собираются задавить наше человечество. Это происходит быстрее, чем мы можем справиться, и скоро..."
"Ghast","Скоро... все превратится в одну большую машину."
"Ghast","Хм... Я снова впал в депрессию."
"Ghast","Слушай, я рад, что узнал тебя."
"Ghast","У нас были хорошие времена."
"Ghast","Ладно. Я пойду, пока не стал слишком сентиментальным."
"Ghast","Увидимся где-нибудь."
"Ghast","Я ухожу."
"Moss","Я слышу, как Гаст медленно идет по коридору."
ACTION-CLOSE-DOOR,
"Moss","Неужели я вижу его в последний раз?"
"Moss","В его голосе прозвучали нотки..."
SECTION-CHAT,
"hydroponix","Я попытался зайти на последнюю остановку, а она была закрыта"
"hydroponix","Кто-нибудь знает, что с этим?"
"x10x10x","Да, я злюсь из-за этого"
"x10x10x","Их поймали за переработкой ядерного материала"
"hydroponix","Ухххх"
"hydroponix","Что"
"selenium_wolf","Вы не слышали?"
"hydroponix","Вау"
"selenium_wolf","Это была большая история..."
