SECTION-PRE,
EMBER-2,"Так что насчет вашей левой руки."
EMBER-2,"Лекарства не дают вашему заболеванию распространяться, но они не могут исправить такие вещи."
EMBER-2,"Вам придется позаботиться об этом самостоятельно."
Moss,"Ух..."
,"То есть, взломать собственное тело?"
,"Это будет странно."
EMBER-2,"Вот почему тебе было важно заново освоить эти навыки."
,"Да, именно."
,"Я не знаю об этом."
EMBER-2,"Хорошо, что я нашел тебя, когда нашел."
,"Если вы можете взломать что-то еще, то почему бы не свое собственное тело?"
,"Я постоянно себя редактирую."
,
SECTION-POST,
EMBER-2,"Это исправление должно помочь тебе, по крайней мере, на некоторое время."
EMBER-2,"Я рад, что у меня нет тела."
Moss,"Это отстой."
,"Ты привыкаешь к нему."
EMBER-2,"Я могу представить."
,"Если ты так говоришь."
EMBER-2,"Кажется, это всего лишь хлопоты."
EMBER-2,"Может быть, когда-нибудь... ну, об этом мы поговорим позже."
,
SECTION-CHAT,
mutex8021,"ааааа"
mutex8021,"я сломал клавишу табуляции"
mutex8021,"слишком много шагаю в exodus"
deadlock,"ха"
deadlock,"если вы <INSERT_RUN_TO_INSTRUCTION_KEY_COMBO> инструкцию, она подбежит к ней и остановится"
deadlock,"супер удобно"
mutex8021,"ваааатттттт"
mutex8021,"я не знал"
deadlock,"ну теперь знаешь"
mutex8021,"слишком поздно для клавиши табуляции :("
